%time,field.data
3660500000000,0.000503540039062
3660500000000,0.000548481941223
3660540000000,-0.00156360864639
3660550000000,-0.000408470630646
3660590000000,-0.00105726718903
3660630000000,-0.00145202875137
3660630000000,-0.0012332201004
3660670000000,-0.0018966794014
3660670000000,-0.001031935215
3660670000000,-0.00133329629898
3660710000000,-0.0015629529953
3660710000000,-0.0019097328186
3660720000000,-0.00180673599243
3660740000000,-0.0012840628624
3660780000000,-0.00143110752106
3660820000000,-0.00219404697418
3660820000000,-0.00228017568588
3660860000000,-0.00263792276382
3660860000000,-0.00176644325256
3660900000000,-0.00249409675598
3660900000000,-0.00351268053055
3660940000000,-0.00439524650574
3660940000000,-0.00351071357727
3660980000000,-0.00344502925873
3660980000000,-0.00307673215866
3661020000000,-0.00334465503693
3661020000000,-0.00406187772751
3661060000000,-0.00387638807297
3661060000000,-0.00392454862595
3661100000000,-0.00514018535614
3661100000000,-0.00491452217102
3661140000000,-0.00405561923981
3661140000000,-0.00480383634567
3661180000000,-0.00568640232086
3661180000000,-0.00505083799362
3661220000000,-0.00540059804916
3661220000000,-0.00634616613388
3661260000000,-0.00523233413696
3661260000000,-0.0056209564209
3661300000000,-0.00573480129242
3661300000000,-0.00490725040436
3661340000000,-0.00559157133102
3661340000000,-0.00722843408585
3661380000000,-0.00645780563354
3661380000000,-0.00682318210602
3661420000000,-0.007388651371
3661420000000,-0.00703990459442
3661460000000,-0.00693619251251
3661460000000,-0.00726044178009
3661500000000,-0.00879245996475
3661500000000,-0.00715517997742
3661540000000,-0.00754565000534
3661540000000,-0.00727754831314
3661580000000,-0.00748646259308
3661580000000,-0.00852352380753
3661620000000,-0.00872272253036
3661620000000,-0.00985246896744
3661660000000,-0.00850230455399
3661660000000,-0.00883597135544
3661700000000,-0.00856381654739
3661700000000,-0.00806772708893
3661740000000,-0.00789952278137
3661740000000,-0.00806403160095
3661780000000,-0.00832539796829
3661780000000,-0.00960206985474
3661820000000,-0.00791001319885
3661820000000,-0.00799989700317
3661860000000,-0.00941622257233
3661860000000,-0.0077760219574
3661900000000,-0.00829041004181
3661900000000,-0.00690567493439
3661940000000,-0.00711637735367
3661940000000,-0.0088130235672
3661980000000,-0.0102605223656
3661980000000,-0.0104175806046
3662020000000,-0.00941693782806
3662020000000,-0.00923383235931
3662060000000,-0.0101405382156
3662060000000,-0.00981682538986
3662100000000,-0.0100041031837
3662100000000,-0.009545981884
3662140000000,-0.0102841854095
3662140000000,-0.0115107893944
3662180000000,-0.00995510816574
3662180000000,-0.0101110935211
3662180000000,-0.0108218789101
3662220000000,-0.0102800726891
3662220000000,-0.00987005233765
3662240000000,-0.00918179750443
3662260000000,-0.00917476415634
3662300000000,-0.0104941725731
3662340000000,-0.00994980335236
3662340000000,-0.00949132442474
3662380000000,-0.00909280776978
3662380000000,-0.00861811637878
3662420000000,-0.00958096981049
3662420000000,-0.0081752538681
3662460000000,-0.00963371992111
3662460000000,-0.0109755396843
3662500000000,-0.00974076986313
3662500000000,-0.00998228788376
3662540000000,-0.0104131698608
3662540000000,-0.0096589922905
3662540000000,-0.00914841890335
3662590000000,-0.00976783037186
3662590000000,-0.00849920511246
3662630000000,-0.00922870635986
3662670000000,-0.00998950004578
3662670000000,-0.00994318723679
3662710000000,-0.0105686187744
3662710000000,-0.0104560852051
3662750000000,-0.0112847089767
3662750000000,-0.01050812006
3662790000000,-0.0102971792221
3662790000000,-0.0114632248878
3662790000000,-0.00989639759064
3662830000000,-0.0102297663689
3662830000000,-0.0103068947792
3662840000000,-0.0116099715233
3662860000000,-0.0120949149132
3662900000000,-0.0116114020348
3662940000000,-0.0126031041145
3662940000000,-0.0109919905663
3662980000000,-0.0114827752113
3662980000000,-0.0120908021927
3663020000000,-0.0125356912613
3663020000000,-0.01290589571
3663060000000,-0.0126591920853
3663060000000,-0.014485001564
3663100000000,-0.0122098326683
3663100000000,-0.0125222802162
3663140000000,-0.0127215981483
3663140000000,-0.0125432014465
3663140000000,-0.0114952325821
3663190000000,-0.0113322734833
3663190000000,-0.0113060474396
3663200000000,-0.0119733214378
3663220000000,-0.012032866478
3663260000000,-0.0121095180511
3663300000000,-0.0120141506195
3663300000000,-0.0128326416016
3663340000000,-0.0117775201797
3663340000000,-0.0124046206474
3663380000000,-0.0118516683578
3663380000000,-0.0101815462112
3663420000000,-0.0113161802292
3663420000000,-0.0101254582405
3663460000000,-0.00947296619415
3663460000000,-0.0101121068001
3663500000000,-0.0107398033142
3663500000000,-0.0115678906441
3663540000000,-0.0117268562317
3663540000000,-0.0101091265678
3663580000000,-0.0110505223274
3663580000000,-0.00868952274323
3663620000000,-0.010124206543
3663620000000,-0.00941061973572
3663660000000,-0.00941199064255
3663660000000,-0.00971865653992
3663700000000,-0.0110187530518
3663700000000,-0.0109480619431
3663740000000,-0.0109969377518
3663740000000,-0.0106020569801
3663780000000,-0.0113853216171
3663780000000,-0.00981509685516
3663820000000,-0.0105412006378
3663820000000,-0.011400103569
3663860000000,-0.0110331773758
3663860000000,-0.0102548599243
3663900000000,-0.0106248259544
3663900000000,-0.00992560386658
3663940000000,-0.0103592276573
3663940000000,-0.0102720856667
3663980000000,-0.0101363062859
3663980000000,-0.00974291563034
3664020000000,-0.0105531215668
3664020000000,-0.00890642404556
3664060000000,-0.00905394554138
3664060000000,-0.00936830043793
3664100000000,-0.0101759433746
3664100000000,-0.0101932883263
3664140000000,-0.0102817416191
3664140000000,-0.0105922818184
3664180000000,-0.0104711651802
3664180000000,-0.0108154416084
3664220000000,-0.0103933215141
3664220000000,-0.00943118333817
3664260000000,-0.010011613369
3664260000000,-0.010117828846
3664300000000,-0.0104960799217
3664300000000,-0.00969129800797
3664340000000,-0.0108678936958
3664340000000,-0.0102099776268
3664380000000,-0.0104012489319
3664380000000,-0.011512696743
3664420000000,-0.0118110775948
3664420000000,-0.0128056406975
3664460000000,-0.0116801261902
3664460000000,-0.0105175971985
